time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss
102400,410,106045.35399999999,249,212.9,25,-1.2552467711269855,-0.0035056467168033123,0.9720060210675001,0.0014057644,0.05,3680,0.00025,0.2478759765625,-0.004983435268513858,0.006544573744758963
106496,409,110569.64399999999,259,230.36,26,-1.3117350988090037,-0.014693349599838257,0.891744427382946,0.0015370084,0.05,3690,0.00025,0.3109375,-0.009778307707165368,0.0037077011795190627
110592,409,119450.65799999997,270,247.75,27,-1.2936506040394307,-0.007266007363796234,0.9100996777415276,0.001481659,0.05,3700,0.00025,0.301416015625,-0.007190276746405289,0.0038422239224018993
114688,409,38960.33,280,172.2,28,-1.3119316525757312,-0.004897530190646648,0.8359692543745041,0.0013576791,0.05,3710,0.00025,0.2808349609375,-0.005597862639115192,0.0027246274461504073
118784,409,47795.108,290,193.87,29,-1.3117547638714313,-0.009924924932420254,0.5471861958503723,0.0014619309,0.05,3720,0.00025,0.30595703125,-0.007832753413822502,0.0023707713771727867
122880,409,82742.57,300,226.31,30,-1.2917714253067971,-0.00042147794738411903,0.9226635843515396,0.0012309011,0.05,3730,0.00025,0.22998046875,-0.004141640197485685,0.003637445334607037
126976,408,124147.859,310,263.56,31,-1.2802895441651345,-0.008040616288781166,0.3055685758590698,0.0014086032,0.05,3740,0.00025,0.2330078125,-0.004582416312769055,0.006266851720283739
131072,408,190046.005,320,302.07,32,-1.2504736945033073,0.00031325966119766235,0.6180750727653503,0.001799207,0.05,3750,0.00025,0.23056640625,-0.003646620607469231,0.008325213452917524
135168,407,190046.005,331,302.07,33,-1.222486935555935,0.0037681562826037407,0.8239993900060654,0.0011633507,0.05,3760,0.00025,0.2254150390625,-0.004398396337637678,0.01252237232401967
139264,406,337958.69500000007,342,369.61,34,-1.27391934171319,0.004760868847370148,-0.36869335174560547,0.0009140399,0.05,3770,0.00025,0.1698486328125,-0.00232480468112044,0.021284897864097728
143360,406,342945.95300000004,352,379.54,35,-1.2845457896590233,0.009718283079564571,0.6726119518280029,0.0012211944,0.05,3780,0.00025,0.2254638671875,-0.00400171791552566,0.012580145697575063
147456,406,403557.599,363,415.94,36,-1.2766570687294005,0.003950178623199463,0.9431931413710117,0.0010004004,0.05,3790,0.00025,0.1703857421875,-0.0022534811578225344,0.014467243547551334
151552,406,401784.0690000001,372,415.68,37,-1.2882105626165867,0.0006140535697340965,0.9173264503479004,0.0011877564,0.05,3800,0.00025,0.250244140625,-0.0048116005782503635,0.02037133648409508
155648,406,513926.525,382,444.06,38,-1.22586834654212,-0.0027877259999513626,0.9761677011847496,0.0011262456,0.05,3810,0.00025,0.2231689453125,-0.0037410359102068467,0.007467704670852981
159744,406,529277.3809999999,392,452.57,39,-1.2311054475605487,0.0029262718744575977,0.9452312178909779,0.001340166,0.05,3820,0.00025,0.2338623046875,-0.005576447138446383,0.01449421551078558
163840,406,545110.132,402,481.75,40,-1.2819928705692292,-0.001131073571741581,0.9278054982423782,0.0011674785,0.05,3830,0.00025,0.2339111328125,-0.002884018135955557,0.0047393522720085455
167936,406,551769.893,413,487.58,41,-1.2972260579466819,-0.0019838986918330193,0.877906896173954,0.0014247561,0.05,3840,0.00025,0.269091796875,-0.0063850060978438705,0.009404464426916092
172032,405,582149.239,423,495.08,42,-1.2876361399888991,-0.0021277491468936205,0.760194331407547,0.0012477766,0.05,3850,0.00025,0.2318359375,-0.004031831317115575,0.0035589584658737294
176128,405,546809.8339999999,434,453.74,43,-1.2839917860925198,0.0044207703322172165,0.6443943679332733,0.0010952728,0.05,3860,0.00025,0.2265869140625,-0.005028974724700675,0.02157215141924098
180224,405,430322.797,444,393.72,44,-1.2589193031191825,0.005218773148953915,0.7562431842088699,0.00089992373,0.05,3870,0.00025,0.2057861328125,-0.004311356027028523,0.02090527678374201
184320,404,386186.77,455,357.7,45,-1.2515878170728683,0.01051376760005951,0.889746643602848,0.0009459505,0.05,3880,0.00025,0.183349609375,-0.0026688465441111475,0.015602576034143566
188416,404,263360.816,466,305.98,46,-1.299307832121849,-0.005323045887053013,0.9771927781403065,0.0013457634,0.05,3890,0.00025,0.2919189453125,-0.006204358648392372,0.005039657319139223
192512,403,364253.4700000001,476,337.37,47,-1.285119666904211,-0.004015724640339613,0.9810203555971384,0.0012622597,0.05,3900,0.00025,0.236328125,-0.005094020039541647,0.003933430441247765
196608,403,279404.27700000006,487,260.31,48,-1.2326068893074988,0.008398458361625671,0.7345446050167084,0.000884549,0.05,3910,0.00025,0.1486572265625,-0.00194923555245623,0.01913125645951368
200704,403,215874.89600000007,497,246.59,49,-1.3089853428304195,-0.003943057265132666,0.8669085651636124,0.0013492841,0.05,3920,0.00025,0.2495849609375,-0.006877263216301799,0.010123988348641432
204800,402,161108.768,508,220.52,50,-1.2997780315577985,-0.0046864948235452175,0.933921292424202,0.0016879756,0.05,3930,0.00025,0.2650146484375,-0.005434002549736761,0.007176093685848173
208896,402,169417.55599999998,518,242.11,51,-1.2995834968984128,-0.007369143422693014,0.8623201102018356,0.0016090791,0.05,3940,0.00025,0.3043212890625,-0.007921101624378934,0.008535426382150036
212992,402,41416.462,529,185.22,52,-1.334931355714798,-0.012248789891600609,0.05706787109375,0.0013978763,0.05,3950,0.00025,0.2802001953125,-0.006829024638864212,0.0015227995634631952
217088,401,66603.809,540,207.25,53,-1.305998156964779,-0.006076005753129721,0.8999603316187859,0.0013205928,0.05,3960,0.00025,0.2775634765625,-0.007124394885613583,0.004694119816849707
221184,401,65551.20500000002,551,209.85,54,-1.2710944302380085,-0.007611392997205257,0.6133712530136108,0.0012692444,0.05,3970,0.00025,0.2846435546875,-0.005104456821572967,0.004957792718778364
225280,401,141504.88999999998,561,261.41,55,-1.274941197782755,-0.002082676626741886,0.967564195394516,0.001346587,0.05,3980,0.00025,0.264404296875,-0.0051774659514194354,0.003256911838252563
229376,400,148594.97999999998,572,273.74,56,-1.277958656847477,-0.004484320990741253,0.9385673142969608,0.0013373424,0.05,3990,0.00025,0.249609375,-0.005351480725221336,0.008133847775752656
233472,400,160519.63700000002,582,275.59,57,-1.2980820462107658,-0.005937197245657444,0.8082153350114822,0.0013746709,0.05,4000,0.00025,0.29267578125,-0.007078353635733947,0.002745787759340601
237568,400,170185.80999999997,593,284.0,58,-1.2975865967571736,-0.002028851304203272,0.8806944489479065,0.0010861664,0.05,4010,0.00025,0.2288818359375,-0.005046223424142226,0.004380842387035955
241664,400,234789.542,603,320.1,59,-1.2917068317532538,-0.006246557459235191,0.8796834200620651,0.0011888756,0.05,4020,0.00025,0.2277587890625,-0.004957780890981667,0.003032471615006216
245760,400,234789.542,614,320.1,60,-1.282512680441141,0.010838464833796024,0.504197508096695,0.00076712866,0.05,4030,0.00025,0.1409423828125,-0.0024066957412287593,0.028944719897117464
249856,400,418714.64900000003,624,403.95,61,-1.2652192749083042,0.014796275645494461,0.05888646841049194,0.0006176573,0.05,4040,0.00025,0.1243408203125,-0.0007941202260553837,0.03279691126663238
253952,400,474377.635,634,432.67,62,-1.238006429374218,0.0041846949607133865,0.789081484079361,0.0007531232,0.05,4050,0.00025,0.141943359375,-0.002652704771026038,0.028344331472180784
258048,400,500754.58100000006,645,450.36,63,-1.2385340735316277,0.010551112703979015,0.9357833936810493,0.0009128686,0.05,4060,0.00025,0.169921875,-0.0021254793246043846,0.020329632516950368
262144,399,551783.7030000001,655,469.26,64,-1.2684355422854423,-0.0031352597288787365,0.9493928998708725,0.001225961,0.05,4070,0.00025,0.24228515625,-0.005006365242297761,0.009468704398022965
266240,399,544035.6130000001,666,465.23,65,-1.2444181963801384,0.011251699179410934,0.8697112500667572,0.0007722121,0.05,4080,0.00025,0.163330078125,-0.0024022963814786637,0.02364768775878474
270336,399,667329.16,676,513.15,66,-1.2485019959509374,0.0003635380417108536,0.9642112553119659,0.0012110891,0.05,4090,0.00025,0.21025390625,-0.0037771985080325976,0.011847024591406807
274432,399,618753.343,686,487.44,67,-1.2168816842138768,0.025427065789699554,0.7874707728624344,0.00054389006,0.05,4100,0.00025,0.12568359375,-0.0014215408125892281,0.0600195423932746
278528,399,606875.1440000001,697,463.33,68,-1.2595297895371913,-0.003235400188714266,0.9416074976325035,0.0015458214,0.05,4110,0.00025,0.281640625,-0.00464807734824717,0.021789395264931954
282624,399,605441.733,707,464.96,69,-1.2900334618985654,-0.007814396172761917,0.9562003239989281,0.0015987551,0.05,4120,0.00025,0.2798583984375,-0.0062321921664988626,0.0033107848314102737
286720,399,633500.645,717,487.83,70,-1.26437004506588,0.00029576336964964867,0.9340601712465286,0.0012645039,0.05,4130,0.00025,0.21162109375,-0.0037411846074974163,0.011524528250447474
290816,399,651405.243,728,488.39,71,-1.268066430836916,-0.002668224275112152,0.952614102512598,0.001086476,0.05,4140,0.00025,0.2045654296875,-0.0037988277879776435,0.008319531637243926
294912,399,495246.87599999993,738,415.79,72,-1.250678787380457,0.01030577253550291,0.8401211351156235,0.00071702286,0.05,4150,0.00025,0.14208984375,-0.0019335400109412148,0.029695724381599575
299008,399,495325.91599999997,748,416.42,73,-1.2503382407128811,0.0029188687913119793,0.9294456243515015,0.0008579189,0.05,4160,0.00025,0.1557373046875,-0.002797728459700011,0.016493941110093148
303104,399,619478.963,758,479.36,74,-1.1931390434503555,0.00727308914065361,0.7623514831066132,0.0008007346,0.05,4170,0.00025,0.1714599609375,-0.0016043644223827868,0.019705468491883947
307200,399,536753.4830000002,768,446.34,75,-1.2632565543055534,0.014565644785761833,0.8768027424812317,0.0012739927,0.05,4180,0.00025,0.2469482421875,-0.003771367252920754,0.03558192959753796
